date,name,km,km/h,Points,Airfield,Club,Region of club,Aircraft
16/10/2024,Rainer Poppe,29.63,82.05,27.007017,Beverley,N/A,AU-WA,Discus 2c 18m
15/10/2024,Allan Gartland,360.21,99.8,430.91495,Beverley,Beverley Soaring Society,AU-WA,Discus a
15/10/2024,Greg Beeroft,393.21,115.59,418.04,Beverley,Beverley Soaring Society,AU-WA,ASG 29 E 18m
15/10/2024,Geoff Overheu,326.42,87.94,393.46,Beverley,Beverley Soaring Society,AU-WA,Discus b
15/10/2024,John Welsh,299.99,69.77,383.312,Beverley,Beverley Soaring Society,AU-WA,Hornet
15/10/2024,John Hutcherson,301.02,82.61,366.43866,Beverley,Beverley Soaring Society,AU-WA,Discus b
15/10/2024,Chris Runeckles,334.03,99.97,353.86942,Beverley,Beverley Soaring Society,AU-WA,JS1 TJ 18m
15/10/2024,Peter Howlett,325.77,85.74,352.4193,Beverley,Beverley Soaring Society,AU-WA,ASH 26 E
15/10/2024,Glenn Hawser,252.04,78.29,278.73,Beverley,Beverley Soaring Society,AU-WA,Nimbus 2
15/10/2024,Ross McLernon,226.19,72.92,275.993,Beverley,Beverley Soaring Society,AU-WA,SZD-48 Jantar Std. 2
14/10/2024,Geoff Overheu,268.52,62.19,311.82,Beverley,Beverley Soaring Society,AU-WA,Discus b
14/10/2024,Peter Howlett,287.42,75.45,310.72858,Beverley,Beverley Soaring Society,AU-WA,ASH 26 E
14/10/2024,Kim Taylor,294.78,78.74,310.28,Beverley,Beverley Soaring Society,AU-WA,JS3 TJ 18m
14/10/2024,Greg Beeroft,281.69,96.05,300.66,Beverley,Beverley Soaring Society,AU-WA,ASG 29 E 18m
14/10/2024,Ryan Driscoll ,333.08,97.57,284.52,Benalla,Gliding Club of Victoria,AU-VIC,Nimbus 4DM
14/10/2024,Marlies Eicher,206.97,45.76,273.7,Boort,N/A,AU,Archaeopteryx
14/10/2024,Terry Cubley,230.24,79.9,272.91498,Benalla,Gliding Club of Victoria,AU-VIC,Mosquito
14/10/2024,Graham Adams ,269.4,86.58,272.6991,Benalla,Gliding Club of Victoria,AU-VIC,Ventus bT 16.6m
14/10/2024,Allan Gartland,250.54,54.3,243.91214,Beverley,Beverley Soaring Society,AU-WA,Discus a
14/10/2024,Russell Edwards,197.29,70.69,215.8926,Benalla,Gliding Club of Victoria,AU-VIC,ASW 28
14/10/2024,Mark Simpson,156.14,64.46,191.63829,Benalla,N/A,AU-VIC,Silent 2
14/10/2024,Chris Runeckles,214.17,78.68,181.90909,Beverley,Beverley Soaring Society,AU-WA,JS1 TJ 18m
14/10/2024,John Welsh,147.41,72.25,163.38287,Beverley,Beverley Soaring Society,AU-WA,DG 1000S 20m
14/10/2024,Peter De Haan,40.77,32.59,46.506,Benalla,Gliding Club of Victoria,AU-VIC,Hornet
13/10/2024,John Orton,273.74,87.62,285.319,Temora,Temora Gliding Club,AU-NSW,ASG 29 18m
13/10/2024,Tobias Geiger,236.35,77.38,249.71043,Benalla,Gliding Club of Victoria,AU-VIC,Ventus 2ax
13/10/2024,Les Kinsley,188.4,80.41,235.67142,Temora,Temora Gliding Club,AU-NSW,Std. Libelle
13/10/2024,Rolf Buelter,215.89,71.03,222.15877,Raywood,Bendigo Gliding Club,AU-VIC,LS 8T 18m
13/10/2024,Grant Heaney,185.73,61.63,200.85234,Tocumwal,Tocumwal Soaring Centre,AU-NSW,Discus a
13/10/2024,Paul Jacobsohn,214.19,67.95,191.14667,Lake Keepit,Hunter Valley Gliding Club,AU-NSW,Arcus M
13/10/2024,Jack Hart,119.6,88.54,128.01091,Temora,Bendigo Gliding Club,AU-NSW,ASW 20
13/10/2024,Gordon Trollip,115.89,49.93,122.083786,Raywood,Bendigo Gliding Club,AU-VIC,LS 6
13/10/2024,Felix Bull,83.71,64.19,93.76538,Gawler,Adelaide Soaring Club,AU-SA,DG 505 M Orion 20m
13/10/2024,Mark Bland,65.55,58.17,75.391304,Mount Beauty,Gliding Club of Victoria,AU-VIC,ASK 21 Mi
13/10/2024,Richard Hart,45.52,33.82,61.99,Elliott Field,Temora Gliding Club,AU,Pilatus B4 FG
13/10/2024,Max  Scutchings,52.75,41.23,56.56036,Gawler,Adelaide Soaring Club,AU-SA,DG 1000S 20m
13/10/2024,Iain Gilmore,48.81,51.21,51.549534,Bacchus Marsh,Melbourne Gliding Club,AU-VIC,Discus b WL
