Year,Period,ENSO,SAM,IOD,Date
2006,FEB,,0.1233333333333333,-0.222,2006-02-01
2006,MAR,,-0.2933333333333334,-0.18200000000000002,2006-03-01
2006,APR,,1.0833333333333333,-0.14933333333333335,2006-04-01
2006,MAY,,1.2133333333333332,-0.09366666666666668,2006-05-01
2006,JUN,,1.9799999999999998,-0.07533333333333332,2006-06-01
2006,JUL,,0.33999999999999986,0.06999999999999999,2006-07-01
2006,AUG,,-0.4300000000000001,0.23233333333333336,2006-08-01
2006,SEP,,-0.3700000000000001,0.41133333333333333,2006-09-01
2006,OCT,,0.5566666666666666,0.5019999999999999,2006-10-01
2006,NOV,,1.0899999999999999,0.4166666666666667,2006-11-01
2006,DEC,,0.5033333333333333,0.299,2006-12-01
2007,JAN,0.7,1.2433333333333332,0.18200000000000002,2007-01-01
2007,FEB,0.2,0.5399999999999999,0.16333333333333333,2007-02-01
2007,MAR,-0.1,0.4199999999999999,0.12200000000000001,2007-03-01
2007,APR,-0.3,-0.7066666666666667,0.162,2007-04-01
2007,MAY,-0.4,-0.6666666666666669,0.13333333333333333,2007-05-01
2007,JUN,-0.5,-1.4466666666666665,0.115,2007-06-01
2007,JUL,-0.6,-1.2000000000000002,0.10366666666666667,2007-07-01
2007,AUG,-0.8,-1.61,0.17200000000000001,2007-08-01
2007,SEP,-1.1,-1.0066666666666668,0.17966666666666664,2007-09-01
2007,OCT,-1.3,-0.9033333333333333,0.09333333333333332,2007-10-01
2007,NOV,-1.5,0.6566666666666665,-0.06066666666666667,2007-11-01
2007,DEC,-1.6,1.7966666666666666,-0.045000000000000005,2007-12-01
2008,JAN,-1.6,2.15,-0.06133333333333333,2008-01-01
2008,FEB,-1.5,1.4266666666666665,0.04666666666666667,2008-02-01
2008,MAR,-1.3,0.3033333333333332,-0.042666666666666665,2008-03-01
2008,APR,-1.0,-0.2800000000000002,0.04066666666666667,2008-04-01
2008,MAY,-0.8,0.5099999999999998,0.08,2008-05-01
2008,JUN,-0.6,0.8566666666666665,0.213,2008-06-01
