,Year,Period,WA,NT,VIC,NSW,SA,QLD,ENSO,SAM,IOD
4,2007,JAN,361.7687272727272,,351.22031730842104,699.3523599999999,455.2183333333333,389.80444444444447,0.7,1.2433333333333332,0.182
3,2007,FEB,258.65423076923076,,358.7707285246914,637.13148,399.7732,348.9,0.2,0.5399999999999999,0.1633333333333333
7,2007,MAR,241.51384615384617,,301.7794322891566,413.85474,362.09529411764703,302.39574074074073,-0.1,0.4199999999999999,0.122
0,2007,APR,241.51384615384617,,200.28235294117644,244.7810465116279,259.8611111111111,300.82933333333335,-0.3,-0.7066666666666667,0.162
8,2007,MAY,238.78250000000003,,186.64684210526315,208.144,197.91,287.2594545454545,-0.4,-0.6666666666666669,0.1333333333333333
6,2007,JUN,,,95.44,169.98673076923075,,230.8744444444445,-0.5,-1.4466666666666663,0.115
5,2007,JUL,,,164.81,134.10340909090908,167.005,148.78666666666666,-0.6,-1.2000000000000002,0.1036666666666666
1,2007,AUG,79.41,,141.40045299999997,171.55948453608244,170.24666666666664,188.08333333333337,-0.8,-1.61,0.172
11,2007,SEP,229.554,,213.36032357142855,218.96082089552235,170.24666666666664,235.73382022471912,-1.1,-1.0066666666666668,0.1796666666666666
10,2007,OCT,355.005,,309.8153812,462.28200392,368.6725,254.4835227272727,-1.3,-0.9033333333333332,0.0933333333333333
9,2007,NOV,380.9377083333334,,357.3032,629.27968,562.67125,259.7096470588236,-1.5,0.6566666666666665,-0.0606666666666666
2,2007,DEC,391.0258333333333,,375.4842063492064,677.3983599999999,556.68125,407.30000000000007,-1.6,1.7966666666666666,-0.045
16,2008,JAN,392.4478947368421,,358.71351063829786,675.8946399999999,458.7515384615385,282.77235294117645,-1.6,2.15,-0.0613333333333333
15,2008,FEB,402.6025,,360.6315286624203,590.4335599999999,392.2137142857143,251.04533333333336,-1.5,1.4266666666666663,0.0466666666666666
19,2008,MAR,373.1166666666667,,320.9350877192982,345.10916,333.24580645161285,242.7721649484536,-1.3,0.3033333333333332,-0.0426666666666666
12,2008,APR,252.388,,288.10875,236.89125,325.5378947368421,244.55436363636363,-1.0,-0.2800000000000002,0.0406666666666666
20,2008,MAY,,,133.3541176470588,225.94481481481483,236.37399999999997,228.6231707317073,-0.8,0.5099999999999998,0.08
18,2008,JUN,,,15.105,185.61666666666665,173.2,179.8953333333333,-0.6,0.8566666666666665,0.213
17,2008,JUL,,,32.879999999999995,157.3548888888889,169.56,155.293125,-0.4,1.2766666666666666,0.1949999999999999
13,2008,AUG,102.992,,101.3875,172.07954545454547,183.242,168.6336559139785,-0.2,0.4299999999999999,0.152
23,2008,SEP,186.62882352941176,,236.07,186.0246527777778,183.242,200.62608974358977,-0.2,1.09,0.0796666666666666
22,2008,OCT,253.53662337662337,,205.02777777777777,385.1276,207.85142857142856,221.45197368421051,-0.4,1.2333333333333332,-0.0043333333333333
21,2008,NOV,350.0930921052631,,288.7734705882353,556.7248508,236.10333333333332,230.0338260869565,-0.6,1.4166666666666667,-0.0506666666666666
14,2008,DEC,361.1172857142857,,497.9672,712.6101708,421.3125,304.592962962963,-0.7,1.3533333333333333,-0.0499999999999999
