      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
2006    -0.135    -0.305    -0.226    -0.015    -0.207    -0.059     0.040     0.229     0.428     0.577     0.501     0.172
2007     0.224     0.150     0.116     0.100     0.270     0.030     0.045     0.236     0.235     0.068    -0.023    -0.227
2008     0.115    -0.072     0.097    -0.153     0.178     0.215     0.246     0.124     0.086     0.029    -0.128    -0.053
2009     0.031     0.163     0.100     0.126     0.256     0.100    -0.192    -0.104    -0.103    -0.013    -0.067     0.160
2010     0.294     0.023     0.458     0.370    -0.030    -0.140    -0.001    -0.062    -0.268    -0.437    -0.495    -0.212
2011     0.192     0.242     0.367     0.154    -0.089     0.055     0.223     0.344     0.202     0.356     0.336    -0.128
2012     0.046    -0.078     0.026    -0.271    -0.370     0.001     0.546     0.652     0.453     0.110    -0.100     0.268
2013    -0.065     0.189     0.083    -0.297    -0.506    -0.497    -0.180    -0.194    -0.310    -0.168     0.199     0.141
2014    -0.101    -0.089    -0.151    -0.058    -0.092    -0.028    -0.363    -0.372    -0.145     0.141     0.010     0.046
2015    -0.100    -0.345    -0.241    -0.008     0.240     0.296     0.225     0.567     0.294     0.483     0.347     0.272
2016     0.266    -0.110    -0.009     0.146    -0.113    -0.443    -0.758    -0.444    -0.437    -0.372    -0.382    -0.310
2017    -0.086     0.101     0.357     0.499     0.536     0.424     0.520     0.349     0.034     0.016     0.289     0.109
2018    -0.200     0.215    -0.120    -0.083     0.122     0.155     0.053     0.122     0.604     0.685     0.500     0.309
2019     0.387     0.416     0.224     0.258     0.539     0.605     0.597     0.436     0.893     0.964     0.835     0.243
2020     0.173     0.054     0.019    -0.011     0.298     0.454     0.320    -0.183    -0.190     0.074     0.020     0.030
2021     0.051     0.243     0.266     0.250     0.009    -0.002    -0.228    -0.099    -0.058    -0.091     0.069    -0.120
2022    -0.056    -0.083    -0.093    -0.068    -0.122    -0.335    -0.195    -0.246    -0.322    -0.691    -0.269    -0.092
2023     0.109     0.157     0.415     0.560     0.443     0.665     0.498     0.825     0.946     0.804     0.920     0.851
2024     0.765
