      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
2006  0.56 -1.85  1.66 -0.69  2.28  2.05  1.61 -2.64 -0.26  1.79  0.14  1.34
2007  0.03  2.36 -0.77 -0.33 -1.02 -0.65 -2.67 -0.28 -1.88 -0.86  0.03  2.80
2008  2.56  1.09  0.63 -0.81 -0.66  3.00  0.23  0.60  0.46  2.21  1.03  1.01
2009  2.02  0.94  0.50 -0.43 -0.14  0.54 -0.13 -2.44 -0.78  1.47 -1.20  1.09
2010 -0.40 -2.12  0.04  0.08  1.51  3.14  3.37  1.24 -0.33  3.19  3.88  0.25
2011  0.48  0.87 -0.79  1.62  1.37  0.72 -1.52 -0.73 -1.79  0.59 -1.41  3.43
2012  3.08 -1.53  0.48  2.18  0.47  1.46  3.18  1.34  0.09  0.83 -0.84 -0.90
2013  0.71  2.84  2.31 -0.07  0.88  0.23  1.17 -3.25 -2.72 -1.39  1.07  0.77
2014 -0.13  0.36  1.34  1.18 -1.62 -0.21  0.68  1.97 -1.62  1.32  0.35  2.45
2015  1.35  4.92  0.88  2.03  0.41  2.41  2.00  1.86  1.91 -0.66  1.46  0.72
2016  3.13  1.35  4.36  1.06 -0.92  3.66  0.81 -1.28  2.46 -0.89 -3.12 -1.52
2017 -1.12 -1.09 -1.56  1.65  1.82  1.98  0.16  0.31  0.42 -0.64  3.18  1.44
2018  2.72  1.02 -0.03 -1.66  0.01 -1.57  0.55 -0.78  1.83  2.76  2.84  1.44
2019  2.79 -1.87  1.47  0.86 -0.11  2.21 -2.20 -2.04  0.81 -1.97 -4.42 -1.78
2020  0.57 -0.36  2.05 -1.72  1.03  1.18 -0.97 -2.20 -0.25  1.79  1.14  2.28
2021  1.95  2.19 -0.95  0.87  0.75  1.88 -1.06  0.73  1.68  0.80  2.69  2.74
2022  2.19  1.92  1.28  2.49  0.25 -2.34  1.24  0.66  2.25  1.71  3.71  2.94
2023  4.56  0.45  0.15 -0.78  1.80 -1.18 -0.46  1.44 -1.22  1.68  0.52  2.28
2024  2.84  2.74  1.05  1.48  1.70  1.47  0.56 -4.44  0.66

